id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_1547fb2c3c8a489186d0682465ab3451,LLM-LLM,2,2,5.0,4.5,1.5,4.5,2.0,5.0,4.75,3.0,3.5,3.75,597.0,8.0,4.510887772194305,74.625,0.4589614740368509,0.3350083752093802,103.85259631490788,10.780072236180928,0.2395204942075012,0.4683796857602836,-1.2161839604377749,-1.7558146864175797,0.539630725979805,sentence,10,8
conv_1a4cdabdded94039ac38c6be264efe9f,LLM-LLM,2,2,4.5,5.0,2.0,4.5,2.5,5.0,4.75,3.25,3.75,3.9166666666666665,576.0,36.0,4.710069444444445,16.0,0.5173611111111112,0.3836805555555556,74.65277777777777,65.604375,0.0599362516183662,0.7048108541193747,-3.9570094413227506,-0.7335373759269714,-3.223472065395779,sentence,38,36
conv_1b0e1bf3782340208c862eb1953a6489,LLM-LLM,2,2,4.5,4.5,1.0,5.0,2.0,5.0,4.5,3.0,3.5,3.6666666666666665,581.0,34.0,4.438898450946644,17.08823529411765,0.5060240963855421,0.378657487091222,72.28915662650603,68.92452035030881,0.065727046016044,0.4237468585735177,-3.4296436388702953,-0.8602193883236717,-2.5694242505466236,sentence,36,34
conv_23a11cb8a62046a39c8eaeb4b4f1a0fc,LLM-LLM,2,2,4.5,4.5,2.5,4.5,4.5,4.5,4.5,3.5,4.5,4.166666666666667,445.0,20.0,4.773033707865168,22.25,0.5932584269662922,0.4561797752808988,107.86516853932584,58.01664325842697,0.0586428834813198,0.5284320516072447,-5.208668503314256,-1.543554131537676,-3.6651143717765806,sentence,27,25
conv_24be5ad5ae8b490a89787a75511dc012,LLM-LLM,2,2,5.0,4.5,1.0,4.0,1.5,4.5,4.75,2.5,3.0,3.4166666666666665,637.0,10.0,4.588697017268446,63.7,0.41287284144427,0.2872841444270015,83.20251177394034,21.05673704866564,0.2608660721650302,0.5214046239388137,-1.8379428088665009,-0.4265448600053787,-1.411397948861122,sentence,10,8
conv_25b3327db15a448db32cb8f42d05655e,LLM-LLM,2,2,5.0,5.0,1.5,4.5,1.0,5.0,5.0,3.0,3.0,3.6666666666666665,564.0,30.0,4.613475177304965,18.8,0.5301418439716312,0.400709219858156,78.01418439716312,65.65300000000003,0.0631824182728327,0.5719469119408453,-3.019518256187439,-0.4527492194340147,-2.566769036753424,sentence,31,29
conv_272a28c1cb76483fb0bcc11661b06dbc,LLM-LLM,2,2,5.0,5.0,2.0,5.0,1.5,5.0,5.0,3.5,3.25,3.9166666666666665,574.0,26.0,4.7177700348432055,22.076923076923077,0.5383275261324042,0.4094076655052265,85.3658536585366,59.000790672741914,0.0654016079171338,0.4735277635504651,-3.2332347461155484,-0.7094169301646096,-2.5238178159509386,sentence,30,28
conv_292771c4d36a4702b327c98371d9c388,LLM-LLM,2,2,4.0,4.0,2.5,4.0,2.0,3.5,4.0,3.25,2.75,3.3333333333333335,601.0,30.0,4.605657237936772,20.033333333333335,0.4875207986688852,0.3594009983361065,81.53078202995007,63.61298031059347,0.057093855043871,0.5742792317735811,-2.978737135018622,-0.732632788164275,-2.246104346854346,sentence,30,28
conv_2b6a9fdd2b264202b6fbc798e053f3c0,LLM-LLM,2,2,4.5,5.0,3.5,5.0,4.5,4.5,4.75,4.25,4.5,4.5,557.0,29.0,4.594254937163376,19.20689655172414,0.5368043087971275,0.3967684021543985,78.99461400359066,64.76872531418313,0.0636931326720881,0.7021522028566968,-3.6119585651904345,-0.7614181209355593,-2.850540444254875,sentence,34,32
conv_30e43acd01e24513a5f6f65aa3fc5f50,LLM-LLM,2,2,5.0,5.0,2.0,4.0,2.5,5.0,5.0,3.0,3.75,3.9166666666666665,610.0,6.0,4.657377049180328,101.66666666666669,0.4754098360655737,0.3442622950819672,91.8032786885246,-22.56322404371583,0.2282468566815348,0.4587675166121707,-1.6322158575057983,-0.4579269886016845,-1.1742888689041138,sentence,6,4
conv_31e18dd54ab64e43899d86184657e442,LLM-LLM,2,0,,,,,,,,,,,518.0,26.0,4.768339768339768,19.923076923076923,0.5772200772200772,0.4459459459459459,71.42857142857143,62.979486189486195,0.0452842036862108,0.6197249604423996,-4.018755966219409,-1.312797131209538,-2.705958835009871,sentence,31,29
conv_339a89acf32545fa80f53e02c9fd766b,LLM-LLM,2,0,,,,,,,,,,,588.0,37.0,4.5476190476190474,15.891891891891891,0.4795918367346938,0.3520408163265306,86.73469387755102,65.24350523993381,0.0653892960382528,0.4117112674880728,-3.4995239497842014,-1.021586116101291,-2.477937833682911,sentence,39,37
conv_3cd6a9b2f37747109eaa80d6ec7ce875,LLM-LLM,2,0,,,,,,,,,,,624.0,18.0,4.447115384615385,34.666666666666664,0.469551282051282,0.3541666666666667,76.92307692307693,50.44256410256412,0.1539538433160195,0.4960444036104989,-1.678521891434987,-0.4604903181393941,-1.2180315732955933,sentence,17,15
conv_3ef9d32d64f54bdf9885057da0285cef,LLM-LLM,2,0,,,,,,,,,,,625.0,6.0,4.408,104.16666666666669,0.4096,0.2816,94.4,-14.49160666666664,0.2223319559901551,0.5266415484810888,-1.3770914673805237,-0.2390706241130828,-1.1380208432674408,sentence,6,4
conv_423a3b9f2e0640e789caf6a9f5e374b9,LLM-LLM,2,0,,,,,,,,,,,578.0,35.0,4.442906574394463,16.514285714285716,0.5294117647058824,0.3944636678200692,79.58477508650519,68.73493771626298,0.0600162335560441,0.5951775457206279,-3.717331972387102,-0.9045455704132715,-2.8127864019738302,sentence,38,36
conv_462717bcc40d4415847da0610f472914,LLM-LLM,2,0,,,,,,,,,,,554.0,29.0,4.725631768953068,19.103448275862068,0.5216606498194946,0.4151624548736462,83.03249097472924,57.49084837545129,0.0677255288708898,0.4730867353966766,-3.3520964781443277,-0.9378573806197557,-2.414239097524572,sentence,29,27
conv_4a6a4f5ea2f54cbeb47af1cc5ce458ac,LLM-LLM,2,0,,,,,,,,,,,585.0,29.0,4.557264957264957,20.17241379310345,0.4837606837606837,0.3487179487179487,83.76068376068376,64.4492307692308,0.1006142011920745,0.5476629396650162,-3.612722887595494,-1.1082573552926382,-2.5044655323028566,sentence,32,30
conv_4f8a0b7e568d40eba7e40164ecf1db73,LLM-LLM,2,0,,,,,,,,,,,517.0,26.0,4.493230174081238,19.884615384615383,0.5764023210831721,0.425531914893617,61.89555125725339,70.79756993006995,0.0556958447802832,0.6637102736327882,-3.88879378380314,-1.0039621553113385,-2.8848316284918014,sentence,33,31
conv_59e7ea5807ff4367bf49dd3541d68e49,LLM-LLM,2,0,,,,,,,,,,,563.0,36.0,4.683836589698046,15.63888888888889,0.5275310834813499,0.3801065719360568,94.1385435168739,65.93985815077956,0.0361170947165911,0.6638566189395894,-3.893625353773435,-0.8054074959622489,-3.088217857811186,sentence,38,36
conv_5e251a7c51a949a983e10fa3b1d5a65f,LLM-LLM,2,0,,,,,,,,,,,556.0,29.0,4.625899280575539,19.17241379310345,0.5863309352517986,0.4640287769784172,82.73381294964028,65.34406474820146,0.0593525125685735,0.6012618734412815,-3.494061255455017,-0.7747100353240967,-2.71935122013092,sentence,32,30
conv_5eaea7f6b22e45d58a8dc6d7dc13cfea,LLM-LLM,2,0,,,,,,,,,,,581.0,28.0,4.7538726333907055,20.75,0.5163511187607573,0.3838209982788296,89.50086058519793,55.306280120481944,0.0636250046721604,0.5835471170865596,-2.9887164739462047,-0.7495976319679847,-2.23911884197822,sentence,28,26
conv_5f83922b1e334cfcb374e90c11c81c1e,LLM-LLM,2,0,,,,,,,,,,,596.0,18.0,4.493288590604027,33.111111111111114,0.4563758389261745,0.3406040268456375,77.18120805369128,49.7339336316182,0.1531580054515996,0.4375580774067673,-1.742272987961769,-0.3749776966869831,-1.367295291274786,sentence,18,16
conv_61b8da5870584552bbd7133619cd3436,LLM-LLM,2,0,,,,,,,,,,,576.0,30.0,4.470486111111111,19.2,0.5347222222222222,0.4236111111111111,69.44444444444444,65.73450000000001,0.0566870565661347,0.6351922274497483,-3.1126669299217964,-0.6355378820050147,-2.4771290479167813,sentence,33,31
conv_628470d6e6cb42949e29a2c7866a28ab,LLM-LLM,2,0,,,,,,,,,,,628.0,18.0,4.525477707006369,34.888888888888886,0.4490445859872611,0.3200636942675159,70.06369426751593,50.85430644019817,0.1488929469909503,0.4566439077928016,-1.79866324365139,-0.3780954256653785,-1.4205678179860115,sentence,18,16
conv_6553a073e7d2443dab881a908afab5eb,LLM-LLM,2,0,,,,,,,,,,,546.0,31.0,4.532967032967033,17.612903225806452,0.5512820512820513,0.3974358974358974,64.1025641025641,73.67878234668558,0.0555231213827481,0.6605701434992066,-3.8853438550775703,-1.0866347695841934,-2.798709085493377,sentence,35,33
