id,cond,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,llm,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,topic_novelty,topic_transience,topic_resonance,topic_entropy,word_novelty,word_transience,word_resonance,s_novelty,s_transience,s_resonance
3,LLM-LLM,2,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.5,4.833333333333333,2,488.0,22.0,4.971311475409836,22.181818181818183,0.6024590163934426,0.48565573770491804,90.16393442622952,53.606520119225024,0.06833594585332876,0.47674483727241324,5.570806232997762,5.513064242048224,0.05804024220401476,1.5305327267702293,5.070809996281447,5.0409109753794095,0.05074140861247134,-3.043535627424717,-1.6875702515244484,-1.4000042120615641
6,LLM-LLM,2,5.0,5.0,1.5,4.0,1.0,4.0,5.0,2.75,2.5,3.4166666666666665,2,609.0,5.0,4.70935960591133,121.8,0.45977011494252873,0.33825944170771755,96.88013136288998,-46.40086699507387,0.2754153891368257,0.4721825690033882,5.246987313111029,6.581391037377856,-1.209751702097353,1.3425927230859636,4.5329384425030375,4.429922467180609,0.11011231048016265,-2.475173989931742,-1.3915726059959048,-1.1025320172309876
8,LLM-LLM,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,502.0,24.0,4.938247011952191,20.916666666666668,0.5856573705179283,0.4342629482071713,81.67330677290836,55.16553950863218,0.044908738402523934,0.6624986403273867,6.077105996815901,6.032718504963693,0.10827351478520363,1.3757577081618642,5.178332273467512,5.23453026354472,-0.04873900551291788,-3.07205630049986,-1.7662771940231323,-1.2621134519577026
9,LLM-LLM,2,4.0,4.5,2.5,4.0,4.5,4.0,4.25,3.25,4.25,3.9166666666666665,2,546.0,34.0,4.565934065934066,16.058823529411764,0.5677655677655677,0.43040293040293043,102.56410256410255,67.81881060116358,0.030747320975341625,0.6158199891252665,5.139968330685911,5.069711811512223,0.1375277111055406,1.7742186865987508,4.992337512260234,4.8957486233028265,0.13199755188013995,-2.905877765856291,-1.8951523680435984,-0.9864838586913215
10,LLM-LLM,2,5.0,5.0,2.0,5.0,4.5,5.0,5.0,3.5,4.75,4.416666666666667,2,551.0,29.0,4.607985480943738,19.0,0.542649727767695,0.41197822141560797,79.85480943738656,61.955081669691495,0.062331043322131297,0.6653869716685535,5.815976129873882,5.725873968972453,0.12526485458168274,1.5304251910752953,4.9534345480913,4.908917916194604,0.04916405162555021,-2.5544838309288025,-1.4286095102628071,-1.1093976076911478
12,LLM-LLM,2,5.0,4.5,1.5,4.5,2.0,5.0,4.75,3.0,3.5,3.75,2,597.0,8.0,4.510887772194305,74.625,0.45896147403685095,0.33500837520938026,103.85259631490787,10.780072236180928,0.23952049420750127,0.5528555027230355,7.504694423882301,8.67672813115438,-1.3064374836173702,0.8057386637584194,4.517197761994558,4.460495693246524,0.03999476337793913,-2.8341187295459567,-1.8767619360060919,-0.7173691391944885
15,LLM-LLM,2,4.5,4.5,2.5,4.5,4.5,4.5,4.5,3.5,4.5,4.166666666666667,2,445.0,20.0,4.773033707865168,22.25,0.5932584269662922,0.45617977528089887,107.86516853932585,58.01664325842697,0.058642883481319824,0.47674483727241324,5.655706393167068,5.413520866484783,0.47684416685966624,1.5793177624726487,5.111703938425339,5.02284494629303,0.030745145690780733,-3.5645959695180256,-1.998187494277954,-1.6446049554007394
16,LLM-LLM,2,5.0,4.5,1.0,4.0,1.5,4.5,4.75,2.5,3.0,3.4166666666666665,2,637.0,10.0,4.588697017268446,63.7,0.41287284144427,0.28728414442700156,83.20251177394034,21.05673704866564,0.26086607216503027,0.5228633482119133,6.5507197688447985,6.714507330894577,-0.14202066659154444,1.3272584812271453,4.34972871975587,4.351880360694699,0.0005141228967856462,-2.689459800720215,-1.463080265305259,-1.2831627868470692
20,LLM-LLM,2,4.5,5.0,3.5,5.0,4.5,4.5,4.75,4.25,4.5,4.5,2,557.0,29.0,4.594254937163376,19.20689655172414,0.5368043087971275,0.39676840215439857,78.99461400359066,64.76872531418313,0.06369313267208812,0.6791173209590177,5.320785271702346,5.252154800619985,0.10792305515036606,1.7171965260757331,4.927882427312973,4.889699020403285,0.034195690632325824,-2.9067100349225496,-1.5775516535106457,-1.2106501128938463
21,LLM-LLM,2,5.0,5.0,2.0,4.0,2.5,5.0,5.0,3.0,3.75,3.9166666666666665,2,610.0,6.0,4.657377049180328,101.66666666666667,0.47540983606557374,0.3442622950819672,91.80327868852459,-22.563224043715834,0.22824685668153483,0.4721825690033882,5.382431312261593,6.678538117303631,-2.9560595429656447,1.4691085198533125,4.440107720109756,4.467237035352384,-0.04689549156853305,-2.5643207913353327,-1.5037692614964075,-1.07255939245224
32,H-LLM,2,5.0,5.0,4.5,5.0,3.5,4.0,5.0,4.75,3.75,4.5,1,469.0,12.0,4.660980810234541,39.083333333333336,0.4840085287846482,0.34541577825159914,81.02345415778252,37.46946783937457,0.16235050934844936,0.6055308404368808,6.299104199557044,6.424432244032741,-0.6026821902468581,1.095149425806358,4.510343118556754,4.504554439999312,0.05400856031761195,-2.0745771005749702,-1.142430104315281,-0.8423651536305745
34,H-LLM,2,3.5,4.5,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665,1,459.0,20.0,4.742919389978214,22.95,0.5228758169934641,0.40305010893246185,56.644880174291934,51.75643627450981,0.09302070837035371,0.6231572275395582,6.233016951593851,6.191403586216485,0.10456545893863363,1.4227630117268626,4.493410234520372,4.488372958238615,-0.07803573181881758,-2.6724664121866226,-1.572524756193161,-0.7866238196690877
36,H-LLM,2,4.0,4.5,4.0,4.5,5.0,4.5,4.25,4.25,4.75,4.416666666666667,1,465.0,39.0,4.372043010752688,11.923076923076923,0.5440860215053763,0.40860215053763443,47.31182795698925,79.20404466501243,0.033222028243471,0.5180594068842657,4.401040358972106,4.331617473898067,0.07613902663979824,2.1115258866186726,5.048935007211531,4.939797545340764,0.12489252962940167,-2.3361749947071075,-1.287113830447197,-0.8985861778259278
37,H-LLM,2,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.5,4.0,4.166666666666667,1,460.0,26.0,4.673913043478261,17.692307692307693,0.5478260869565217,0.4108695652173913,65.21739130434783,62.16122073578599,0.06483023332356859,0.7031475734352284,4.816737483144033,4.813351193259575,0.0606200392636271,1.9115628411012282,4.923643040915576,4.910646934857325,-0.06339629035897013,-2.5507526099681854,-1.5274367928504944,-0.742838191986084
40,H-LLM,2,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.25,4.25,4.166666666666667,1,497.0,24.0,4.177062374245473,20.708333333333332,0.4869215291750503,0.3682092555331992,68.41046277665997,71.9379732562039,0.11624521316445695,0.5655527616582056,5.155432843734914,5.301661770371451,-0.105560288293908,1.6996018357292872,4.721032916400801,4.62739141803031,0.1898516234801443,-1.8475465003181906,-1.2169279421077055,-0.5795387923717499
44,H-LLM,2,3.5,3.5,5.0,3.0,5.0,4.5,3.5,4.0,4.75,4.083333333333333,1,485.0,34.0,4.389690721649485,14.264705882352942,0.511340206185567,0.37731958762886597,41.23711340206186,76.18395239539117,0.052489256152128135,0.6400689950436453,4.64098549235772,4.499423127599894,0.2161162095719008,1.9743800049781157,4.914807799417817,4.862691010814004,-0.009290591996083175,-2.3125750177046833,-1.2201388302971334,-0.9497872143983841
54,H-LLM,2,3.0,2.5,5.0,2.0,4.0,2.0,2.75,3.5,3.0,3.0833333333333335,1,481.0,35.0,4.343035343035343,13.742857142857142,0.4802494802494803,0.3471933471933472,76.92307692307693,76.09930561330565,0.06419863013171585,0.6939342012855146,4.029013226566349,4.162901282645789,-0.12539505219266522,1.820878249008783,4.7353515531915065,4.48965446502748,0.2977175018746474,-3.256784943973317,-1.55615514867446,-1.2049527168273926
57,H-LLM,2,4.0,3.5,4.5,2.5,5.0,4.0,3.75,3.5,4.5,3.9166666666666665,1,517.0,19.0,4.539651837524178,27.210526315789473,0.5067698259187621,0.3733075435203095,75.43520309477756,51.74358851674643,0.11030353014802502,0.68490290736059,4.377498276325381,4.049827037500017,0.4201423860533377,1.5731987423178484,4.895831157616545,4.730654630234291,0.13535627299985614,-2.8968405458662243,-1.140803747706943,-1.5608568752513212
61,H-LLM,2,4.5,5.0,4.0,5.0,3.5,4.5,4.75,4.5,4.0,4.416666666666667,1,428.0,23.0,4.654205607476635,18.608695652173914,0.5560747663551402,0.411214953271028,56.074766355140184,66.58175335229582,0.09458308020814234,0.6496598122255299,5.4667640128010095,5.402272375995018,0.15410033448537527,1.6027864564969783,4.985283892240392,4.891154311489888,0.030797790752715493,-2.3259143193562823,-1.4600004196166991,-0.5262935842786517
72,H-LLM,2,3.0,3.5,2.5,3.5,3.5,4.0,3.25,3.0,3.75,3.3333333333333335,1,491.0,29.0,4.64969450101833,16.93103448275862,0.5234215885947047,0.39918533604887985,75.35641547861508,64.73146639511202,0.07811195775011338,0.646678787254235,5.589073868532753,5.65191624250952,-0.013592175111832638,1.5394485045903605,4.687899675007897,4.62976177642016,0.030853442653551832,-2.175207825268016,-1.0617530766655416,-1.1103715151548386
76,H-LLM,2,4.0,5.0,1.5,5.0,4.0,4.5,4.5,3.25,4.25,4.0,1,478.0,29.0,4.485355648535565,16.482758620689655,0.5230125523012552,0.38284518828451886,69.0376569037657,71.70039748953978,0.08001080916935231,0.6489494628823351,4.9882442725356855,5.165261885026796,-0.16733055853282044,1.7523621249438608,4.820543064000659,4.883746085720657,-0.04571088642635098,-2.348763480782509,-1.274488553404808,-1.1167314211527506
79,H-LLM,2,4.0,3.0,2.0,3.0,2.0,2.0,3.5,2.5,2.0,2.6666666666666665,1,465.0,32.0,4.638709677419355,14.53125,0.5591397849462365,0.432258064516129,86.0215053763441,65.8225554435484,0.07246155012952131,0.6079576363688319,5.081698133134615,5.045657840785271,0.08658929681459286,1.8426229571218995,4.800309493950049,4.777617911250278,0.04182034636798644,-1.934920847415924,-0.9589464068412781,-0.81122833887736
80,H-LLM,2,1.5,3.5,4.0,3.5,4.5,3.5,2.5,3.75,4.0,3.4166666666666665,1,405.0,23.0,4.387654320987655,17.608695652173914,0.5456790123456791,0.4222222222222222,81.4814814814815,70.10439613526573,0.06833204968841194,0.6637105983800955,4.991776985558601,4.830344971412319,0.3029332423366706,1.7512811554931478,4.867327203143334,4.908721548327329,-0.07447527548564711,-2.8986750841140747,-1.3916630744934082,-1.324221134185791
81,H-LLM,2,4.0,4.0,2.0,3.5,1.5,4.0,4.0,2.75,2.75,3.1666666666666665,1,465.0,32.0,4.670967741935484,14.53125,0.5118279569892473,0.3741935483870968,66.66666666666667,65.09481350806453,0.0758532747343453,0.6180810432569376,5.166292815004555,5.0880875990063785,0.07960290770187878,1.8800422496889744,4.84408989964883,4.814711861302568,0.08369032863512231,-2.3292411416769028,-1.245626837015152,-1.0051316579182943
85,H-LLM,2,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.5,4.25,4.583333333333333,1,487.0,30.0,4.478439425051334,16.233333333333334,0.4948665297741273,0.3490759753593429,51.3347022587269,73.44687303216976,0.09654969105518423,0.6503186529411592,5.188898011584939,5.205445579615548,-0.058203168857184594,1.6005713420020629,4.925832500502273,4.928541032955451,-0.01855410568887178,-2.881547780597911,-1.345683034728555,-1.441599279642105
