story_id,lag,mean_sim,n_pairs
7wPRj5Wbc26nlx60LUT5,16,0.6154273952308454,19
7wPRj5Wbc26nlx60LUT5,17,0.6157295968797472,18
9MYVXy4Nms9gfR1DI7NA,1,0.6426564050026429,39
9MYVXy4Nms9gfR1DI7NA,2,0.637385440500159,38
9MYVXy4Nms9gfR1DI7NA,3,0.6205410578766385,37
9MYVXy4Nms9gfR1DI7NA,4,0.6318217077189021,36
9MYVXy4Nms9gfR1DI7NA,5,0.6276840337685177,35
9MYVXy4Nms9gfR1DI7NA,6,0.6144013904473361,34
9MYVXy4Nms9gfR1DI7NA,7,0.6025268354199149,33
9MYVXy4Nms9gfR1DI7NA,8,0.6163739021867514,32
9MYVXy4Nms9gfR1DI7NA,9,0.5856608738822322,31
9MYVXy4Nms9gfR1DI7NA,10,0.6076459248860677,30
9MYVXy4Nms9gfR1DI7NA,11,0.6030543323220878,29
9MYVXy4Nms9gfR1DI7NA,12,0.6001323504107339,28
9MYVXy4Nms9gfR1DI7NA,13,0.5814240111245049,27
9MYVXy4Nms9gfR1DI7NA,14,0.6016726058263046,26
9MYVXy4Nms9gfR1DI7NA,15,0.5906061518192292,25
9MYVXy4Nms9gfR1DI7NA,16,0.59928206478556,24
9MYVXy4Nms9gfR1DI7NA,17,0.5940673804801443,23
9MYVXy4Nms9gfR1DI7NA,18,0.5985990871082653,22
9MYVXy4Nms9gfR1DI7NA,19,0.5954858987104326,21
9MYVXy4Nms9gfR1DI7NA,20,0.6057599350810051,20
BocRhyGX0eWpgbUSkjWF,1,0.7362267221173933,31
BocRhyGX0eWpgbUSkjWF,2,0.7301021118958791,30
BocRhyGX0eWpgbUSkjWF,3,0.7146389134998979,29
BocRhyGX0eWpgbUSkjWF,4,0.7095433899334499,28
BocRhyGX0eWpgbUSkjWF,5,0.7008634805679321,27
BocRhyGX0eWpgbUSkjWF,6,0.6988884325210865,26
BocRhyGX0eWpgbUSkjWF,7,0.6804994797706604,25
BocRhyGX0eWpgbUSkjWF,8,0.6873509387175242,24
BocRhyGX0eWpgbUSkjWF,9,0.6926912458046622,23
BocRhyGX0eWpgbUSkjWF,10,0.6960196820172396,22
BocRhyGX0eWpgbUSkjWF,11,0.6952049079395476,21
BocRhyGX0eWpgbUSkjWF,12,0.697986951470375,20
BocRhyGX0eWpgbUSkjWF,13,0.6950635596325523,19
BocRhyGX0eWpgbUSkjWF,14,0.6823581688933902,18
BocRhyGX0eWpgbUSkjWF,15,0.6703590996125165,17
BocRhyGX0eWpgbUSkjWF,16,0.6505958884954453,16
D8kJXS3suDI2tltssVgN,1,0.6671441543933957,43
D8kJXS3suDI2tltssVgN,2,0.6467064690022242,42
D8kJXS3suDI2tltssVgN,3,0.6379512606597528,41
D8kJXS3suDI2tltssVgN,4,0.6466384306550026,40
D8kJXS3suDI2tltssVgN,5,0.6382005153558193,39
D8kJXS3suDI2tltssVgN,6,0.6384943111946708,38
D8kJXS3suDI2tltssVgN,7,0.6374118344203846,37
D8kJXS3suDI2tltssVgN,8,0.6288480477200614,36
D8kJXS3suDI2tltssVgN,9,0.6275231744561877,35
D8kJXS3suDI2tltssVgN,10,0.619658507844981,34
D8kJXS3suDI2tltssVgN,11,0.6294209415262396,33
D8kJXS3suDI2tltssVgN,12,0.6212519519031048,32
D8kJXS3suDI2tltssVgN,13,0.6336474014866736,31
D8kJXS3suDI2tltssVgN,14,0.6302421013514201,30
D8kJXS3suDI2tltssVgN,15,0.6189165320889704,29
D8kJXS3suDI2tltssVgN,16,0.6332036278077534,28
D8kJXS3suDI2tltssVgN,17,0.6217678211353443,27
D8kJXS3suDI2tltssVgN,18,0.6191818519280508,26
D8kJXS3suDI2tltssVgN,19,0.6184129250049591,25
D8kJXS3suDI2tltssVgN,20,0.6246578445037206,24
D8kJXS3suDI2tltssVgN,21,0.6192379347656084,23
D8kJXS3suDI2tltssVgN,22,0.6315291103991595,22
EVPkCWSrT9SwL38W9Zuk,1,0.6169196290354575,31
EVPkCWSrT9SwL38W9Zuk,2,0.6157115578651429,30
EVPkCWSrT9SwL38W9Zuk,3,0.5896798536695284,29
