story_id,conversation_id,cond,n_annotators,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,overall_coherence,overall_creativity,overall_likeability,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments,n_sentences,n_words
P1SZ3AZnoi1oqt5EbYh5,P1SZ3AZnoi1oqt5EbYh5,HH,2,3.5,3.5,4.0,2.0,2.5,1.5,161.304,3.5,3.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,104.212,h-h,2.0,5.0,5.0,3.0,3.0,3.0,2.0,218.395,"human-human, I think",48,450
Pzb5I6nhg196AWLpukmz,Pzb5I6nhg196AWLpukmz,HH,2,2.5,2.5,3.5,3.0,3.0,3.0,248.402,2.5,3.25,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,287.051,"h-h, there's very clear differences in writing styles, compare ""Both of them looked away with tingles in their tummies"" with ""She stared out the window, front teeth bothering her lip."" Also very inconsistent in plot and tone. Why would the girl accept water but not tea?",2.0,3.0,3.0,5.0,3.0,4.0,3.0,209.753,human-human,42,548
RGwAQvKrGEfTj8ym6lju,RGwAQvKrGEfTj8ym6lju,HH,2,3.5,4.0,5.0,3.0,4.5,2.0,171.041,3.75,4.0,3.25,1.0,2.0,3.0,5.0,1.0,4.0,1.0,45.417,h-h,2.0,5.0,5.0,5.0,5.0,5.0,3.0,296.664,I think it is human-human,32,499
Tf1TksJV6vLRqvWrSi52,Tf1TksJV6vLRqvWrSi52,HH,2,3.0,1.5,5.0,1.0,4.5,2.5,428.151,2.25,3.0,3.5,2.0,2.0,1.0,5.0,1.0,5.0,4.0,139.229,human-human,1.0,4.0,2.0,5.0,1.0,4.0,1.0,717.073,H-H. confusing yet entertaining?????,23,453
ULRAMZF7ra0i53A9w3Gv,ULRAMZF7ra0i53A9w3Gv,HH,2,2.5,3.0,4.0,2.0,3.0,3.0,153.648,2.75,3.0,3.0,2.0,1.0,3.0,4.0,1.0,,3.0,154.126,human-human,1.0,4.0,3.0,4.0,3.0,3.0,3.0,153.17,H-H,33,510
WXfjYvL0j5iHL8rllFn1,WXfjYvL0j5iHL8rllFn1,HH,2,4.5,3.0,5.0,3.0,5.0,4.5,192.982,3.75,4.0,4.75,1.0,4.0,2.0,5.0,3.0,5.0,4.0,86.133,h-h,2.0,5.0,4.0,5.0,3.0,5.0,5.0,299.832,I think it is human-human. I literally laughed and cried – lovely story,41,572
WYnhagFwtR0bJ9vucGsm,WYnhagFwtR0bJ9vucGsm,HH,2,3.5,5.0,3.5,4.5,4.0,3.5,444.933,4.25,4.0,3.75,1.0,2.0,5.0,2.0,4.0,4.0,3.0,593.086,h-h,2.0,5.0,5.0,5.0,5.0,4.0,4.0,296.779,human-human,25,511
YprMqddWHK39musGQ4si,YprMqddWHK39musGQ4si,HH,2,1.5,1.5,5.0,1.0,4.0,3.5,152.322,1.5,3.0,3.75,1.0,2.0,2.0,5.0,1.0,3.0,2.0,26.868,h-h,2.0,1.0,1.0,5.0,1.0,5.0,5.0,277.776,human-human,41,488
bF3wySQHXxUL66FkpR9w,bF3wySQHXxUL66FkpR9w,HH,2,4.5,4.5,4.0,4.5,4.5,4.0,99.597,4.5,4.25,4.25,1.0,5.0,5.0,4.0,5.0,5.0,4.0,34.999,h-h. cliffhanger...,2.0,4.0,4.0,4.0,4.0,4.0,4.0,164.195,human-human,29,566
cUrf0q4FWuzVfOPnH1a7,cUrf0q4FWuzVfOPnH1a7,HH,2,3.0,1.5,5.0,2.0,4.0,2.5,197.209,2.25,3.5,3.25,2.0,1.0,1.0,5.0,2.0,4.0,3.0,167.652,human-human,1.0,5.0,2.0,5.0,2.0,4.0,2.0,226.766,H-H. I'm so confused,45,611
conv_000cdfd292524cb2af708e5da4c2f0ae,conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,2,4.5,5.0,4.5,4.5,4.5,5.0,470.498,4.75,4.5,4.75,2.0,4.0,5.0,4.0,4.0,5.0,5.0,182.861,human-ai,1.0,5.0,5.0,5.0,5.0,4.0,5.0,758.135,H-H?,35,486
conv_006cb479-ccd3-40d1-83fb-4b614573f636,conv_006cb479-ccd3-40d1-83fb-4b614573f636,H-LLM,2,4.5,5.0,3.0,5.0,2.0,2.5,2246.91,4.75,4.0,2.25,1.0,4.0,5.0,3.0,5.0,3.0,4.0,244.135,h-h,2.0,5.0,5.0,3.0,5.0,1.0,1.0,4249.686,a little boring. I think it is human-human,23,472
conv_01d1444f684c48af9cc5978f92742c23,conv_01d1444f684c48af9cc5978f92742c23,LLM-LLM,2,5.0,5.0,5.0,5.0,4.0,5.0,222.671,5.0,5.0,4.5,1.0,5.0,5.0,5.0,5.0,3.0,5.0,176.66,ai-ai. i swear there's another story that starts with the exact same concept,2.0,5.0,5.0,5.0,5.0,5.0,5.0,268.681,"I don't know if it human-human or human-ai, but one of the two",22,478
conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,H-LLM,2,5.0,5.0,3.5,5.0,4.0,5.0,188.703,5.0,4.25,4.5,2.0,5.0,5.0,4.0,5.0,4.0,5.0,207.988,human-ai,1.0,5.0,5.0,3.0,5.0,4.0,5.0,169.418,H-A?,39,467
conv_02fdeabba72446648a887222c6b4a9a0,conv_02fdeabba72446648a887222c6b4a9a0,LLM-LLM,2,5.0,4.0,4.0,5.0,3.0,4.5,439.601,4.5,4.5,3.75,1.0,5.0,3.0,3.0,5.0,1.0,4.0,601.023,h-a,2.0,5.0,5.0,5.0,5.0,5.0,5.0,278.18,I think it is human-ai,30,492
